incident_county,incident_latitude,incident_longitude,incident_dateonly_created,Population
42,40.6569,-122.2215,7,180040
13,35.641999999999996,-118.15,7,896764
3,39.4664,-121.6129,7,231256
2,38.5691,-120.7819,7,39383
8,38.5691,-120.7819,7,190678
42,40.900999999999996,-121.368,7,180040
23,41.1336,-121.2144,7,8777
44,42.048,-122.345,7,43724
42,40.72,-121.56200000000001,7,180040
42,41.141000000000005,-122.805,7,180040
44,41.681999999999995,-122.12700000000001,7,43724
42,40.0,29.24,8,180040
18,37.0,18.4,8,157672
18,37.3433,-119.6581,8,157672
23,41.507,-121.266,8,8777
44,41.79600000000001,-123.374,8,43724
35,32.59154,-116.89516,8,3343364
17,34.235,-117.771,8,10105518
17,34.266999999999996,-117.867,8,10105518
27,39.3918,-120.0805,8,99696
13,35.7206,-118.4747,8,896764
50,40.7412,-122.946,8,12535
42,40.7101,-122.171,9,180040
52,37.8316,-120.3434,9,54539
11,41.13399999999999,-123.75299999999999,9,136373
26,38.695961,-122.384054,9,139417
20,37.0,40.34,10,17471
8,38.805437,-120.62971399999999,9,190678
44,41.485,-121.851,2,43724
28,33.748000000000005,-117.601,9,3185968
27,39.113682,-120.999508,9,99696
18,37.311915,-119.604124,9,157672
44,41.423840000000006,-122.37432,9,43724
34,33.93869,-117.70643000000001,10,2171603
8,38.59,-120.02799999999999,9,190678
8,38.9195001,-120.1140659,9,190678
35,32.6449163,-116.94543870000001,6,3343364
30,40.05083333,-120.70166670000002,4,18804
31,33.884313,-117.64275900000001,4,2450758
22,37.08312,-121.06963,5,274765
11,41.1513,-123.8292,6,136373
50,40.924,-123.16799999999999,6,12535
13,35.77937,-120.19481999999999,6,896764
26,38.5287,-122.3415,6,139417
2,38.260777000000004,-121.135426,6,39383
49,40.0133,-122.552,6,63916
35,32.9421,-116.8534,6,3343364
34,34.16027778,-116.89277779999999,6,2171603
55,39.2688,-121.26471000000001,6,78041
18,37.165766999999995,-119.52394299999999,6,157672
18,37.072561,-119.6958,6,157672
16,40.875667,-121.033667,6,30802
1,38.598056,-119.751944,6,1101
17,34.361007,-118.535793,6,10105518
34,34.165974,-117.24387800000001,6,2171603
26,38.519132,-122.181878,6,139417
21,39.7806004,-123.24821399999999,6,87606
49,39.8448,-122.3638,7,63916
21,39.0263,-123.303,7,87606
45,38.4113,-122.0789,7,446610
45,38.1029,-122.1578,7,446610
42,40.5953,-122.4397,7,180040
34,34.0783472,-117.04878629999999,7,2171603
37,35.7183,-121.0157,7,284010
31,33.986204,-117.43942,7,2450758
28,33.7626,-117.7274,7,3185968
44,41.8048,-122.5029,7,43724
35,33.21407,-116.73472,7,3343364
34,34.339,-117.478,7,2171603
17,34.367,-117.68299999999999,7,10105518
33,36.8727,-121.5681,7,61537
51,36.085212,-118.82423500000002,7,465861
44,41.999340999999994,-121.891226,7,43724
26,38.40958,-122.43172,10,139417
29,38.9361,-121.1548,7,393149
8,38.775999999999996,-120.404,7,190678
23,41.29226,-121.17211699999999,7,8777
23,40.856421999999995,-121.101623,7,8777
35,33.383889,-116.86861100000002,7,3343364
35,32.682547,-116.51683999999999,7,3343364
27,39.192088,-120.88231299999998,7,99696
11,41.295667,-123.784067,7,136373
18,37.279722,-119.50013999999999,7,157672
4,38.052,-120.5577,8,45602
47,37.24523,-121.20324,7,549815
11,40.1093,-123.774,7,136373
51,36.24,-118.54,7,465861
3,39.43963,-121.38793999999999,7,231256
15,38.886353799999995,-122.47624750000001,7,64382
42,40.509552,-122.19922700000001,7,180040
42,40.415108000000004,-122.439939,7,180040
52,37.823,-120.15643999999999,7,54539
52,37.83618,-120.61691,8,54539
6,37.81629,-121.68113000000001,7,1150215
42,40.49865,-122.20109,7,180040
51,36.49845,-118.9009,7,465861
21,39.433009999999996,-123.36316000000001,7,87606
31,33.5736,-116.5387,8,2450758
23,41.398999999999994,-121.39200000000001,7,8777
42,40.67868,-121.93243999999999,8,180040
39,34.9522,-120.2903,8,446527
55,39.33303,-121.18735,8,78041
42,40.3929,-122.40546,8,180040
16,40.938,-120.105,8,30802
35,33.4115972,-117.2886249,8,3343364
49,40.3506868,-121.77867990000001,8,63916
15,38.8142503,-122.48673190000001,8,64382
26,38.8142503,-122.48673190000001,8,139417
37,35.3477,-120.6269,8,284010
11,40.1058823,-124.0720419,8,136373
0,37.3845,-121.3732,8,1666753
15,38.831478000000004,-122.53428000000001,8,64382
15,38.925764,-122.879272,8,64382
34,34.23,-116.883,8,2171603
50,40.724897999999996,-122.96173999999999,8,12535
15,55.23,-122.0,9,64382
3,26.42,-121.0,9,231256
16,41.12362,-121.19425600000001,8,30802
52,38.04684,-120.30188000000001,9,54539
50,40.0,41.46,9,12535
16,40.400196,-120.553075,9,30802
9,40.400196,-120.553075,9,994400
3,39.5218,-121.3363,9,231256
42,40.475120000000004,-122.52541000000001,9,180040
3,39.8707,-121.8938,10,231256
9,36.874,-118.905,7,994400
22,37.2171,-121.08036000000001,4,274765
53,34.15,-118.87944399999999,11,850967
33,36.70854,-121.32733999999999,10,61537
39,34.4828,-119.63216000000001,10,446527
27,39.080999999999996,-121.194,9,99696
25,36.3699644,-121.589554,9,435594
25,36.5696373,-121.75560290000001,9,435594
17,34.6888731,-118.78925929999998,4,10105518
52,37.927613,-120.52883600000001,5,54539
25,36.38123,-121.20058999999999,5,435594
17,34.275999999999996,-118.354,5,10105518
9,36.88286,-119.654,5,994400
47,37.17072,-121.42238,6,549815
3,39.33035,-121.78973,5,231256
3,39.624016999999995,-121.59509299999999,5,231256
37,35.619609999999994,-120.39993,5,284010
25,35.8378273,-121.0381507,5,435594
9,36.787690000000005,-119.38248,5,994400
29,38.8390117,-121.3090268,5,393149
35,33.41639,-117.08828999999999,5,3343364
51,35.84883,-118.08591000000001,6,465861
3,39.595,-121.6008,6,231256
37,35.70821,-120.82266000000001,6,284010
4,38.22017,-120.8678,6,45602
49,39.93965,-122.40142,6,63916
29,38.86804,-121.37704,6,393149
8,38.64107,-120.6955,6,190678
33,36.80296,-121.40303999999999,6,61537
32,38.3131,-121.06452,6,1540975
31,33.476894,-117.140883,6,2450758
25,36.01542,-121.25028999999999,6,435594
37,35.01382,-119.58206000000001,6,284010
42,40.61388,-122.46777,6,180040
2,38.26874,-120.90265,6,39383
35,32.60729,-116.63028,6,3343364
25,36.2833,-121.3306,6,435594
49,39.7947,-121.85700000000001,6,63916
13,35.77135,-120.251,6,896764
33,36.499140000000004,-121.04993,6,61537
44,41.623000000000005,-123.557,6,43724
39,34.775999999999996,-119.64299999999999,6,446527
54,38.699709999999996,-122.15456999999999,6,220408
3,39.43351,-121.6051,6,231256
13,35.6115,-118.45628,6,896764
25,36.1934,-120.9293,6,435594
22,37.07147,-121.20155,6,274765
28,33.578720000000004,-117.77395,6,3185968
0,37.74369,-121.58677,6,1666753
24,37.97,-119.14,6,14250
15,39.12366,-122.50373,6,64382
8,38.96741,-120.9375,6,190678
29,38.96741,-120.9375,6,393149
2,38.385,-121.003611,6,39383
9,36.92244,-119.39618999999999,7,994400
17,34.36763,-118.57245,7,10105518
33,5487.0,-120.841536,7,61537
13,34.913000000000004,118.9082,7,896764
42,40.36873,-122.72913,7,180040
49,40.0353,-122.56938999999998,6,63916
13,35.20993,-118.72272,7,896764
53,34.701,-119.14399999999999,6,850967
49,40.07846,-122.2071,7,63916
9,36.0749,-120.452041,7,994400
12,36.58972,-118.15588999999999,7,17987
4,38.02845,-120.61153,7,45602
32,38.517771999999994,-121.103642,7,1540975
9,36.14161,-120.62048,7,994400
18,37.256009999999996,-119.65776000000001,7,157672
53,34.27619,-118.63264,7,850967
53,33.11645,-116.58542,7,850967
4,38.08056,-120.81393999999999,7,45602
4,37.96311,-120.67335,7,45602
54,38.8866,-122.04726000000001,7,220408
13,35.68313,-118.21793000000001,7,896764
53,36.92244,-119.39618999999999,7,850967
13,35.607479999999995,-118.94811000000001,7,896764
9,37.0099,-119.5792,7,994400
35,32.9612,-116.7945,7,3343364
15,39.0863,-122.7891,7,64382
44,41.961909999999996,-122.59328000000001,7,43724
9,37.01591,-119.50506999999999,7,994400
4,37.98171,-120.64241000000001,7,45602
45,38.33475,-122.02564,7,446610
35,33.393,-117.35093,7,3343364
44,41.71847,-122.36923999999999,7,43724
25,35.85093,-120.81081,7,435594
25,36.45994,-121.89938000000001,7,435594
28,33.6542,-117.5221,8,3185968
34,34.25858,-117.4415,9,2171603
3,39.6871,-121.571,9,231256
21,39.7299,-123.5044,9,87606
34,34.3183,-117.3189,9,2171603
27,39.39051,-120.51886999999999,9,99696
42,40.68192,-122.4096,9,180040
8,38.79549,-121.00299,7,190678
35,33.00056,-116.9571,7,3343364
6,38.012640000000005,-122.1885,7,1150215
18,37.24006,-119.4741,7,157672
52,37.81434,-120.69521,7,54539
40,37.41896,-121.79668999999998,7,1937570
35,33.22558,-117.14546999999999,8,3343364
49,40.19611,-122.26736000000001,8,63916
3,39.6708,-121.7192,8,231256
54,38.52513,-122.06788,8,220408
13,35.24504,-118.60343999999999,8,896764
18,37.3228,-119.7738,8,157672
2,38.2581,-120.8657,8,39383
40,37.06531,-121.68576999999999,8,1937570
34,34.28771,-117.27338,8,2171603
15,36.099740000000004,-120.51057,8,64382
15,38.68403,-122.26015,8,64382
9,36.099740000000004,-120.51057,8,994400
34,34.30372,-117.49342,8,2171603
42,40.61213,-122.47091,8,180040
11,40.9878,-123.77832,8,136373
37,35.70595,-120.98316000000001,8,284010
15,38.89741,-122.60663999999998,8,64382
13,35.7506,-118.5678,8,896764
11,40.4572,-124.05803999999999,8,136373
32,38.558,-121.1309,9,1540975
1,38.575540000000004,-120.00606,8,1101
9,36.84479,-119.34487,9,994400
40,37.11831,-121.69783999999999,9,1937570
55,36.16965,-121.38775,8,78041
21,39.8748511,-123.42670109999999,8,87606
13,35.4976,-118.5097,8,896764
44,41.851000000000006,-123.118,8,43724
36,37.62215,-121.36665,8,752660
11,41.284859999999995,-123.82268,8,136373
16,40.3915,-120.7845,9,30802
3,39.79547,-121.71661999999999,8,231256
4,38.1874,-120.6381,8,45602
51,36.1648,-118.73906000000001,8,465861
44,41.7813,-122.611,8,43724
23,41.4657,-120.9066,9,8777
13,35.2013,-118.7212,8,896764
15,39.1408865,-122.9148951,8,64382
44,41.6314,-122.7933,9,43724
3,39.8851,-121.6998,9,231256
49,40.30594,-122.1295,9,63916
7,37.75972,-120.02962600000001,9,27828
27,39.20427,-121.05948000000001,9,99696
12,37.75985,-118.95308999999999,9,17987
23,41.2649,-120.3178,9,8777
39,34.63445,-120.54421,9,446527
39,34.75134,-120.55297,9,446527
3,39.4403,-121.42647,9,231256
48,39.188321,-121.78003000000001,9,96807
2,38.5212,-120.8416,9,39383
52,37.79635,-120.32484,9,54539
9,36.6543,-119.5327,9,994400
42,40.0,-121.93923000000001,9,180040
46,38.80017,-122.82895,9,499942
30,39.92,-121.32,9,18804
40,37.106320000000004,-121.85318000000001,9,1937570
9,36.94536,-119.25958999999999,10,994400
8,38.934490000000004,-120.10744,10,190678
35,33.254355,-117.158475,11,3343364
17,34.31,-118.335,11,10105518
51,36.217,-118.551,10,465861
51,35.984,-118.551,10,465861
9,35.92436,-119.94083,4,994400
3,39.51158,-121.55633,2,231256
42,40.487120000000004,-121.85645,4,180040
23,41.167159999999996,-120.58341999999999,4,8777
31,33.56777,-116.08003000000001,4,2450758
9,36.07228,-120.26561000000001,4,994400
25,36.44141,-121.34695,4,435594
9,36.530836,-120.20659199999999,4,994400
9,36.5355,-120.6585,4,994400
34,34.30104,-117.45646,4,2171603
31,34.00566,-117.30693000000001,4,2450758
31,33.7866,-117.5048,4,2450758
13,35.717040000000004,-118.30601000000001,5,896764
37,35.78286,-120.22646999999999,5,284010
37,35.6879,-120.3317,5,284010
9,36.45491,-120.2445,5,994400
13,35.60001,-118.4683,5,896764
22,36.96655,-120.89261,5,274765
25,35.77082,-120.92482,5,435594
31,33.88466,-116.99229,5,2450758
13,35.05076,-118.90003999999999,5,896764
37,35.21177,-119.87525,5,284010
13,35.41283,-118.84466,5,896764
25,36.1727,-120.86681999999999,5,435594
25,36.2771,-120.94328,5,435594
18,36.90967,-119.79315,5,157672
37,35.34541,-120.76463999999999,5,284010
9,36.12089,-120.37116,5,994400
14,35.983000000000004,-119.91508,5,151366
31,33.97155,-117.44148,5,2450758
9,36.60736,-120.5828,5,994400
37,35.85253,-120.80411000000001,5,284010
35,33.3906,-117.32348,5,3343364
35,32.65597,-116.80527,5,3343364
37,35.556667,-120.47399999999999,5,284010
13,35.4605,-118.85896000000001,5,896764
31,33.94673,-117.17773000000001,5,2450758
39,34.9465,-119.8036,5,446527
35,32.679,-116.29296000000001,5,3343364
33,36.355779999999996,-120.99552,5,61537
31,33.96419,-117.20506999999999,5,2450758
35,33.34988,-117.39818000000001,5,3343364
31,33.882870000000004,-116.99651000000001,5,2450758
13,34.87128,-118.35296000000001,5,896764
9,36.96642,-119.58292,5,994400
31,33.585770000000004,-116.07428999999999,5,2450758
4,38.199059999999996,-120.83483999999999,5,45602
9,36.61332,-120.7109,5,994400
34,34.04412,-116.55326000000001,5,2171603
51,35.89423,-119.00334,5,465861
55,39.23205,-121.376,5,78041
32,38.337070000000004,-121.11113,6,1540975
31,33.94788,-116.59719,6,2450758
13,35.188,-119.2877,6,896764
23,41.38247,-120.53443,6,8777
31,33.82165,-116.96078999999999,6,2450758
17,34.29931,-118.37539,6,10105518
13,35.60633,-118.4642,6,896764
49,40.38944,-122.13088,6,63916
16,40.03392,-120.1064,6,30802
31,33.87107,-116.88096999999999,6,2450758
6,37.86549,-122.2102,6,1150215
13,35.564124,-118.79651299999999,6,896764
3,39.52499,-121.64896999999999,6,231256
44,41.8721,-122.4571,6,43724
51,36.458090000000006,-118.87676,6,465861
18,37.127590000000005,-120.0193,6,157672
13,35.598040000000005,-118.47939,6,896764
13,35.373509999999996,-118.84133999999999,6,896764
25,35.80375,-120.52508,6,435594
18,37.0825,-119.8011,6,157672
9,36.704679,-120.405077,6,994400
26,38.68347,-122.2654,6,139417
25,35.902149,-120.98368400000001,6,435594
9,36.616986,-120.36934699999999,6,994400
9,36.8005,-119.35901000000001,6,994400
52,37.85137,-120.45268,6,54539
31,33.584036,-116.97203600000002,6,2450758
35,33.23281,-117.29508999999999,6,3343364
51,35.8556,-118.74542,6,465861
31,33.52584,-116.85226000000002,6,2450758
37,35.6871,-120.3187,6,284010
20,37.36914,-120.0088,6,17471
31,33.950382,-116.884446,6,2450758
31,33.79925,-117.11658999999999,6,2450758
3,39.69717,-121.75417,6,231256
31,117.138741,33.939428,6,2450758
25,35.90092,-120.93371,6,435594
17,34.55607,-118.60703000000001,6,10105518
49,40.32063,-122.83208,6,63916
31,33.90965,-116.9669,6,2450758
31,33.98639,-117.21314,6,2450758
18,37.02081,-119.95136000000001,6,157672
13,35.53456,-118.66733,6,896764
31,33.71025,-117.31924,6,2450758
44,41.93006,-122.36545,6,43724
45,38.07481,-122.23003999999999,6,446610
34,34.2976,-116.82600000000001,6,2171603
43,39.711009999999995,-120.02325,6,2987
47,37.82934,-120.68992,6,549815
40,37.334540000000004,-121.76323000000001,6,1937570
3,39.364000000000004,-121.4143,6,231256
3,39.384159999999994,-121.5786,6,231256
9,36.27306,-120.65185,6,994400
49,40.10282,-122.27378999999999,6,63916
51,36.51912,-119.50606,6,465861
17,34.37443,-118.49343,6,10105518
35,33.1683,-116.77342,6,3343364
31,33.530045,-116.594422,6,2450758
44,40.703775,-122.64507900000001,6,43724
37,35.4025,-120.4992,6,284010
32,38.458220000000004,-120.92161999999999,6,1540975
19,37.9775,-122.65749,6,259666
35,32.7789,-116.8516,6,3343364
34,34.14575,-117.17813000000001,6,2171603
7,41.93323,-124.19628999999999,6,27828
40,37.3344,-121.71752,6,1937570
25,35.946999999999996,-120.87491999999999,6,435594
23,41.85763,-121.29581,6,8777
20,37.3762,-119.9646,6,17471
35,33.43513,-117.58252,6,3343364
13,35.382979999999996,-118.80123,6,896764
25,35.96275,-121.08753,6,435594
17,34.03941,-118.58623999999999,6,10105518
17,34.104459999999996,-118.70293999999998,6,10105518
42,40.69554,-122.0122,7,180040
27,39.08382,-121.06656000000001,7,99696
31,33.913089,-117.09623300000001,7,2450758
3,39.8629,-121.6268,7,231256
20,37.4591,-119.921,7,17471
9,36.269125,-120.620791,7,994400
31,33.968959999999996,-117.25411000000001,7,2450758
31,33.91806,-116.99321,7,2450758
31,33.877390000000005,-117.16215,7,2450758
33,36.855959999999996,-121.30983,7,61537
34,34.304722,-117.3125,7,2171603
9,36.81476,-119.51592,7,994400
31,33.993159999999996,-117.48405,7,2450758
3,39.53944,-121.54722,7,231256
53,34.20599,-118.98603,7,850967
44,41.86609,-122.73031,7,43724
31,33.853229999999996,-117.48195,7,2450758
51,36.108579999999996,-118.81979,7,465861
44,41.3975,-122.8428,7,43724
8,38.7803,-120.97111000000001,7,190678
47,37.64898,-120.4925,7,549815
9,36.95104,-119.65621000000002,7,994400
4,38.20176,-120.67848000000001,7,45602
54,38.49521,-122.0251,7,220408
13,35.59904,-119.08312,7,896764
37,35.0179,-120.3223,7,284010
16,40.6361,-120.9643,7,30802
13,35.77896,-118.89627,7,896764
44,41.841,-123.47399999999999,6,43724
18,37.09773,-120.02027,7,157672
31,33.763304,-117.314994,7,2450758
3,39.453520000000005,-121.41221999999999,7,231256
34,34.07612,-117.06765,7,2171603
37,35.346,-120.62825,7,284010
20,37.65963,-120.34801999999999,7,17471
6,37.87808,-121.78676999999999,7,1150215
42,40.48972,-122.38618999999998,7,180040
39,34.550959999999996,-119.9494,7,446527
23,41.72163,-121.30451000000001,7,8777
44,41.59,-123.501,7,43724
37,35.42433,-120.47322,7,284010
6,38.02929,-122.25544,7,1150215
55,39.06308,-121.303,7,78041
8,38.67474,-121.06088000000001,7,190678
25,35.86949,-120.57893999999999,7,435594
37,35.86949,-120.57893999999999,7,284010
49,40.29118,-122.42606,7,63916
14,35.93273,-120.20013999999999,7,151366
3,39.37192,-121.53865,7,231256
43,39.439721999999996,-120.027222,7,2987
40,37.25014,-121.68562,7,1937570
3,39.50475,-121.33785,7,231256
39,34.72379,-120.13248999999999,7,446527
34,34.09773,-117.10566999999999,7,2171603
35,32.84796,-116.85396000000001,7,3343364
16,40.07045,-120.14013,7,30802
40,37.39801,-121.8179,7,1937570
4,38.18303,-120.85322,7,45602
31,33.626129999999996,-117.07975,7,2450758
34,34.149,-117.189,7,2171603
19,38.08055,-122.77846000000001,7,259666
31,33.77896,-117.24091000000001,7,2450758
25,36.66684,-121.74826000000002,7,435594
21,39.30125,-123.28825,7,87606
20,37.61757,-120.21321,7,17471
21,39.13207,-123.10226999999999,7,87606
9,35.959109999999995,-120.55578999999999,7,994400
5,39.012240000000006,-122.20127,7,21627
4,38.291129999999995,-120.62177,7,45602
23,41.455890000000004,-120.56933000000001,7,8777
15,38.86056,-122.62382,7,64382
51,36.18815,-118.78928,7,465861
14,36.05187,-120.05403999999999,8,151366
11,40.39799,-123.57562,8,136373
13,34.94373,-119.44751000000001,7,896764
42,40.471059999999994,-122.43608,7,180040
31,33.75526,-117.25075,7,2450758
51,36.644040000000004,-118.99943999999999,7,465861
10,39.75425,-122.17657,7,28047
51,36.0226,-118.94252,7,465861
44,41.702,-123.508,7,43724
52,37.90014,-120.36005,7,54539
17,34.792882,-118.85194299999999,7,10105518
31,33.819759999999995,-117.18552,7,2450758
47,37.81827,-120.65763999999999,7,549815
3,39.76243,-121.74121000000001,7,231256
30,39.9034,-120.9761,7,18804
52,37.905545000000004,-120.40813500000002,7,54539
37,35.06472,-120.5634,7,284010
27,39.36902,-120.97586000000001,7,99696
8,38.559707,-120.70013,7,190678
51,36.22265,-119.06598000000001,7,465861
32,38.5181,-121.104,7,1540975
40,37.44485,-121.84108,7,1937570
7,41.478,-123.506,7,27828
34,34.20152,-117.14466000000002,7,2171603
35,33.34659,-116.66107,7,3343364
34,34.139,-117.199,7,2171603
8,38.69775,-120.73756999999999,7,190678
37,35.7751,-120.23656000000001,7,284010
55,39.065220000000004,-121.3519,7,78041
40,36.96607,-121.55552,7,1937570
34,34.412040000000005,-117.03031000000001,7,2171603
49,40.1583,-122.3209,7,63916
27,39.16826,-120.95498,7,99696
52,37.659859999999995,-120.31156999999999,8,54539
42,40.69259,-122.17383999999998,7,180040
44,41.9808,-121.9741,7,43724
8,38.538332000000004,-121.039267,7,190678
13,35.543,-118.654,7,896764
46,38.702890000000004,-122.90217,7,499942
